priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative
515,3,Tier 3 — Partial reversal,2,BRD-K18895904,olanzapine,0.742065,-84.909320,-89.407620,3,2,0,-57.858292,-84.909320,-89.407620,-90.000000,515,False,False,True,False,True,False
516,3,Tier 3 — Partial reversal,2,BRD-K98521173,desoxycortone,0.000000,-89.828520,-82.720860,3,2,0,-57.516460,-82.720860,-89.828520,-90.000000,516,False,False,True,False,True,False
517,3,Tier 3 — Partial reversal,2,BRD-K50938287,sumatriptan,0.256458,-84.557160,-82.214890,3,2,0,-55.505197,-82.214890,-84.557160,-90.000000,517,False,False,True,False,True,False
518,3,Tier 3 — Partial reversal,2,BRD-K66876909,linezolid,0.000000,-80.612220,-86.923904,3,2,0,-55.845375,-80.612220,-86.923904,-90.000000,518,False,False,True,False,True,False
519,3,Tier 3 — Partial reversal,2,BRD-K80527266,triacsin-c,0.000000,-86.067750,-80.580710,3,2,0,-55.549487,-80.580710,-86.067750,-90.000000,519,False,False,True,False,True,False
520,3,Tier 3 — Partial reversal,2,BRD-A99177642,deltaline,2.043693,-80.447740,-88.888916,3,2,0,-55.764321,-80.447740,-88.888916,-90.000000,520,False,False,True,False,True,False
521,3,Tier 3 — Partial reversal,2,BRD-K47328134,lysylphenylalanyl-tyrosine,0.000000,-88.278960,-79.226550,3,2,0,-55.835170,-79.226550,-88.278960,-90.000000,521,False,False,True,False,True,False
522,3,Tier 3 — Partial reversal,2,BRD-K53959060,indirubin,0.000000,-80.276474,-78.744340,3,2,0,-53.006938,-78.744340,-80.276474,-90.000000,522,False,False,True,False,True,False
523,3,Tier 3 — Partial reversal,2,BRD-A14985772,L-ascorbyl-6-palmitate,0.000000,-77.968750,-83.937530,3,2,0,-53.968760,-77.968750,-83.937530,-90.000000,523,False,False,True,False,True,False
524,3,Tier 3 — Partial reversal,2,BRD-K05673000,dicloxacillin,0.000000,-77.327600,-80.409380,3,2,0,-52.578993,-77.327600,-80.409380,-90.000000,524,False,False,True,False,True,False
525,3,Tier 3 — Partial reversal,2,BRD-A91555231,norepinephrine,0.000000,-77.281006,-86.315674,3,2,0,-54.532227,-77.281006,-86.315674,-90.000000,525,False,False,True,False,True,False
526,3,Tier 3 — Partial reversal,2,BRD-K47635719,dexamethasone,0.000000,-80.424970,-76.488884,3,2,0,-52.304618,-76.488884,-80.424970,-90.000000,526,False,False,True,False,True,False
527,3,Tier 3 — Partial reversal,2,BRD-K55991774,BAS-09104376,0.000000,-75.299180,-76.458496,3,2,0,-50.585892,-75.299180,-76.458496,-90.000000,527,False,False,True,False,True,False
528,3,Tier 3 — Partial reversal,2,BRD-K94070024,depomedrol,0.000000,-74.272580,-88.007034,3,2,0,-54.093205,-74.272580,-88.007034,-90.000000,528,False,False,True,False,True,False
529,3,Tier 3 — Partial reversal,2,BRD-K22429181,retinol,0.000000,-76.668140,-74.163570,3,2,0,-50.277237,-74.163570,-76.668140,-90.000000,529,False,False,True,False,True,False
