pubchem_cid,canonical_smiles,isomeric_smiles,inchikey,molecular_formula
64143,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,QAGYKUNXZHXKMR-HKWSIXNMSA-N,C32H45N3O4S
6419755,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5,KIWODJBCHRADND-UHFFFAOYSA-N,C24H21N5O2
6419904,CC1C2C(CC(=C3C(C2OC1=O)C(=CC3=O)C)C)O.O,C[C@H]1[C@@H]2[C@H](CC(=C3C([C@H]2OC1=O)C(=CC3=O)C)C)O.O,ADUHAEBXPKBNDK-JYDSQBQOSA-N,C15H20O5
6436135,CCC(CC)(CC(=O)NC1=CC=CC(=C1)C=CC2=NC(=CS2)C3CCC3)C(=O)O,CCC(CC)(CC(=O)NC1=CC=CC(=C1)/C=C/C2=NC(=CS2)C3CCC3)C(=O)O,BZMKNPGKXJAIDV-VAWYXSNFSA-N,C23H28N2O3S
6436173,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)/C,NZCRJKRKKOLAOJ-XRCRFVBUSA-N,C43H51N3O11
65064,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-WIYYLYMNSA-N,C22H18O11
6539732,C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3,C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3,ZRHRPGSSSVYBRG-UHFFFAOYSA-N,C14H10IN3OS
669190,CC(=O)NC1=CC(=CC=C1)NC(=O)C2=CC(=CC=C2)Cl,CC(=O)NC1=CC(=CC=C1)NC(=O)C2=CC(=CC=C2)Cl,XZMOBKLRYXTSSS-UHFFFAOYSA-N,C15H13ClN2O2
68712,C1CC1C(C2CC2)NC3=NCCO3,C1CC1C(C2CC2)NC3=NCCO3,CQXADFVORZEARL-UHFFFAOYSA-N,C10H16N2O
6918140,CCCCCC(CCC1C(CC2C1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O,CCCCC[C@@H](CC[C@H]1[C@@H](C[C@H]2[C@@H]1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O,PAJMKGZZBBTTOY-ZFORQUDYSA-N,C23H34O5
91471,C1CCN2CC3CC(C2C1)CN4C3CCCC4=O,C1CCN2C[C@@H]3C[C@H]([C@@H]2C1)CN4[C@@H]3CCCC4=O,JYIJIIVLEOETIQ-XDQVBPFNSA-N,C15H24N2O
91488,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CC(C4=CC(=O)C=CC43C)F)F)O,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O,UUOUOERPONYGOS-CLCRDYEYSA-N,C21H26F2O6
91769,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,KUBONGDXTUOOLM-UHFFFAOYSA-N,C22H27N3OS
9782,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,UREBDLICKHMUKA-DVTGEIKXSA-N,C22H29FO5
9800961,CC(C)C1C2C(CCN2C(=O)C=CCN3CCCCC3)N(C1=O)S(=O)(=O)C,CC(C)[C@H]1[C@H]2[C@@H](CCN2C(=O)/C=C/CN3CCCCC3)N(C1=O)S(=O)(=O)C,NDNKNUMSTIMSHQ-URZKGLGPSA-N,C19H31N3O4S
9903786,C1=CC(=CC=C1C2=CC(=C(S2)NC(=O)N)C(=O)N)F,C1=CC(=CC=C1C2=CC(=C(S2)NC(=O)N)C(=O)N)F,SAYGKHKXGCPTLX-UHFFFAOYSA-N,C12H10FN3O2S
