pert_id,pert_iname,n_signatures,median_connectivity,mean_connectivity,best_connectivity,worst_connectivity,n_negative_signatures
BRD-A66559694,naltrexone,5,-0.31360742,-0.300543206,-0.34122777,-0.23803413,5
BRD-A54029483,IRL-2500,7,-0.3135657,-0.2839134485714286,-0.38092804,-0.17180145,7
BRD-K34533029,tyrphostin-AG-494,2,-0.313564775,-0.313564775,-0.33611333,-0.29101622,2
BRD-A34208323,VU-0404997-2,2,-0.31354214,-0.31354214,-0.31787872,-0.30920556,2
BRD-K33226500,indinavir,2,-0.313533945,-0.313533945,-0.32886016,-0.29820773,2
BRD-A77349281,RK-682,8,-0.313487325,-0.30507942125,-0.37100673,-0.19347456,8
BRD-K78278890,NM-PP1,4,-0.313481885,-0.3189892025,-0.4137119,-0.23528114,4
BRD-K38251852,paxilline,2,-0.31347329999999995,-0.31347329999999995,-0.31949276,-0.30745384,2
BRD-K42748308,XE-991,4,-0.313388165,-0.30549839749999996,-0.32362998,-0.27158728,4
BRD-K97330509,SRC-kinase-inhibitor-II,6,-0.31328027999999997,-0.2907129533333333,-0.34467548,-0.22454073,6
BRD-K25991148,warfarin,4,-0.31319213999999995,-0.3090066525,-0.33376688,-0.27587545,4
BRD-A06390036,hydroquinidine,5,-0.31313682,-0.291272922,-0.33707708,-0.21175224,5
BRD-A31227688,kynuramine,9,-0.3131216,-0.28613949,-0.33709842,-0.17815885,9
BRD-K54771420,glycocholic-acid,5,-0.31311786,-0.302516446,-0.36953115,-0.2062426,5
BRD-K89014967,AS-703026,5,-0.31289557,-0.318428316,-0.44570982,-0.18187268,5
BRD-K78838262,austricine,4,-0.31284610999999996,-0.31336198,-0.35099807,-0.27675763,4
BRD-K66896231,ipidacrine,2,-0.31281633,-0.31281633,-0.3146001,-0.31103256,2
BRD-K16621777,enobosarm,5,-0.3126158,-0.324501944,-0.39898354,-0.27164438,5
BRD-A96799240,4-hydroxyretinoic-acid,4,-0.31255962000000004,-0.33690727,-0.47815692,-0.24435292,4
BRD-K32656671,BRD-K32656671,4,-0.312403785,-0.3212782425,-0.3800499,-0.2802555,4
BRD-A23226398,estradiol,4,-0.31229779,-0.31513726750000004,-0.34900755,-0.28694594,4
BRD-K07507905,BRL-37344,5,-0.31224418,-0.309274852,-0.39653313,-0.21463117,5
BRD-K31792052,pifithrin,6,-0.31219070000000004,-0.31319306333333335,-0.37073076,-0.26792663,6
BRD-K08502430,angiogenesis-inhibitor,3,-0.3121583,-0.3286193533333333,-0.3873431,-0.28635666,3
BRD-A01295252,7-hydroxy-PIPAT,4,-0.31209929000000003,-0.298183645,-0.3554207,-0.2131153,4
