query,pert_id,pert_iname,pert_type,tau
ATLAS_SIG_B_TOP100,BRD-K66766661,17-beta-estradiol,trt_cp,-47.582447
ATLAS_SIG_B_TOP100,BRD-K63915849,AS-604850,trt_cp,-47.437893
ATLAS_SIG_B_TOP100,BRD-K34415467,trimethobenzamide,trt_cp,-47.280365
ATLAS_SIG_B_TOP100,BRD-K06234293,LY-364947,trt_cp,-47.234467
ATLAS_SIG_B_TOP100,BRD-K01663662,diphenidol,trt_cp,-47.119408
ATLAS_SIG_B_TOP100,BRD-K47943470,tyrphostin-51,trt_cp,-46.91066
ATLAS_SIG_B_TOP100,BRD-K67831364,ZM-323881,trt_cp,-46.595947
ATLAS_SIG_B_TOP100,BRD-K98426715,tubacin,trt_cp,-46.54914
ATLAS_SIG_B_TOP100,BRD-K34441861,moexipril,trt_cp,-46.457344
ATLAS_SIG_B_TOP100,BRD-K07881437,danusertib,trt_cp,-46.443993
ATLAS_SIG_B_TOP100,BRD-K84996949,sinensetin,trt_cp,-46.41908
ATLAS_SIG_B_TOP100,BRD-K82109576,vincristine,trt_cp,-46.40745
ATLAS_SIG_B_TOP100,BRD-K57886322,fluocinonide,trt_cp,-46.389793
ATLAS_SIG_B_TOP100,BRD-A61599461,BRD-A61599461,trt_cp,-46.383034
ATLAS_SIG_B_TOP100,BRD-A23290232,westcort,trt_cp,-46.316273
ATLAS_SIG_B_TOP100,BRD-K33204703,AG-370,trt_cp,-46.256927
ATLAS_SIG_B_TOP100,BRD-K57545991,enalapril,trt_cp,-46.14501
ATLAS_SIG_B_TOP100,BRD-K01649396,indatraline,trt_cp,-46.112965
ATLAS_SIG_B_TOP100,BRD-K88871508,lisuride,trt_cp,-45.959305
ATLAS_SIG_B_TOP100,BRD-K08806317,timolol,trt_cp,-45.919903
ATLAS_SIG_B_TOP100,BRD-K25650355,physostigmine,trt_cp,-45.902008
ATLAS_SIG_B_TOP100,BRD-A67438293,treprostinil,trt_cp,-45.901474
ATLAS_SIG_B_TOP100,BRD-K00317371,RITA,trt_cp,-45.81842
ATLAS_SIG_B_TOP100,BRD-K82484965,carmoxirole,trt_cp,-45.74634
ATLAS_SIG_B_TOP100,BRD-A59808129,guggulsterone,trt_cp,-45.736454
ATLAS_SIG_B_TOP100,BRD-K00824317,fludroxycortide,trt_cp,-45.678276
ATLAS_SIG_B_TOP100,BRD-A76019558,ketoconazole,trt_cp,-45.663555
ATLAS_SIG_B_TOP100,BRD-K17349619,HLI-373,trt_cp,-45.57664
ATLAS_SIG_B_TOP100,BRD-A11706664,triciribine,trt_cp,-45.460487
ATLAS_SIG_B_TOP100,BRD-K56509348,BMS-182874,trt_cp,-45.299522
