dataset_id,sample_n,currently_resistant_n,currently_sensitive_parental_n,currently_ambiguous_n,currently_unresolved_n,resistance_hint_counts,control_hint_counts,ambiguous_short_token_counts,top_metadata_tokens
SRA:SRR33650054,1,0,0,0,1,,,,gsm8997273:2 | jsph:1 | unresolved:1
SRA:SRR33650055,1,0,0,0,1,,,,gsm8997272:2 | jsph:1 | unresolved:1
SRA:SRR33650056,1,0,0,0,1,,,,gsm8997271:2 | jsph:1 | unresolved:1
SRA:SRR33650057,1,0,0,0,1,,,,gsm8997270:2 | jsph:1 | unresolved:1
SRA:SRR33650058,1,0,0,0,1,,,,gsm8997269:2 | jsph:1 | unresolved:1
SRA:SRR33650059,1,0,0,0,1,,,,gsm8997268:2 | jsph:1 | unresolved:1
SRA:SRR33650060,1,0,0,0,1,,,,gsm8997267:2 | jsph:1 | unresolved:1
SRA:SRR33650061,1,0,0,0,1,,,,gsm8997266:2 | jsph:1 | unresolved:1
SRA:SRR33650062,1,0,0,0,1,,,,gsm8997265:2 | jsph:1 | unresolved:1
SRA:SRR33650063,1,0,0,0,1,,,,gsm8997264:2 | jsph:1 | unresolved:1
SRA:SRR33650064,1,0,0,0,1,,,,gsm8997263:2 | jsph:1 | unresolved:1
SRA:SRR33650065,1,0,0,0,1,,,,gsm8997262:2 | jsph:1 | unresolved:1
SRA:SRR33650066,1,0,0,0,1,,,,gsm8997261:2 | jsph:1 | unresolved:1
SRA:SRR33650067,1,0,0,0,1,,,,gsm8997260:2 | jsph:1 | unresolved:1
SRA:SRR33650068,1,0,0,0,1,,,,gsm8997259:2 | jsph:1 | unresolved:1
SRA:SRR33650069,1,0,0,0,1,,,,gsm8997258:2 | jsph:1 | unresolved:1
SRA:SRR33650070,1,0,0,0,1,,,,gsm8997257:2 | jsph:1 | unresolved:1
SRA:SRR33650071,1,0,0,0,1,,,,gsm8997256:2 | jsph:1 | unresolved:1
SRA:SRR33662215,1,0,0,0,1,,,,gsm8999193:2 | jsph:1 | unresolved:1
SRA:SRR33662216,1,0,0,0,1,,,,gsm8999192:2 | jsph:1 | unresolved:1
SRA:SRR33662217,1,0,0,0,1,,,,gsm8999191:2 | jsph:1 | unresolved:1
GEO:GSE237607,80,40,40,0,0,bt474r:40 | resistant:40,parental:40,hr:80,bt474:160 | hr:158 | type:80 | epithelial:80 | time:80 | bt474r:80 | atac-seq:40 | sensitive_or_parental:40 | resistant:40 | s0_baseline:4 | s1_con:4 | s1_hrg:4 | s1_egf:4 | s12_con:4 | s12_hrg:4 | s12_egf:4 | s24_con:4 | s24_hrg:4 | s24_egf:4 | r0_baseline:4 | r1_con:4 | r1_hrg:4 | r1_egf:4 | r12_con:4 | r12_hrg:4
